Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
9.79,0,0.1714635277772627026836395315,0.171463527777263,0.170854056874624,0.171463527777263,0.170854056874624,0,0,0,0,6.5196030796425056677014307313,110.38321223642672502778389497,114.28367732910141083576152517,1231013000
9.80,0,0.1713818710751764024989180931,0.171381871075176,0.170773559128866,0.171381871075176,0.170773559128866,0,0,0,0,6.5170914756426809867014307315,110.36416325699415007037384314,114.27222963901530393574107896,1232271000
9.81,0,0.1713004837827501628805278102,0.17130048378275,0.170693327489532,0.17130048378275,0.170693327489532,0,0,0,0,6.5145846221049391647014307309,110.34509808989922493040060568,114.26077395118837251145162328,1233528000
9.82,0,0.1712191605870555228003516914,0.171219160587056,0.17061315665622,0.171219160587056,0.17061315665622,0,0,0,0,6.5120831219602425597014307302,110.3260870717593090837913515,114.24935769780517645422007277,1234785000
9.83,0,0.1711381171633701052902510371,0.17113811716337,0.170533262316677,0.17113811716337,0.170533262316677,0,0,0,0,6.5095865783458695587014307309,110.30709378159610781488283108,114.23795633462856730110882181,1236043000
9.84,0,0.1710571428043724487482542910,0.171057142804372,0.170453433775993,0.171057142804372,0.170453433775993,0,0,0,0,6.5070948414621225987014307302,110.28808461477354809762501164,114.2265471013654255165322243,1237300000
9.85,0,0.1709764291208664986614466860,0.170976429120866,0.170373862657324,0.170976429120866,0.170373862657324,0,0,0,0,6.504607841289121792701430731,110.26912236119316618856564282,114.21517268340443796069236313,1238558000
9.86,0,0.1708959868855827299565532797,0.170895986885583,0.170294559745693,0.170895986885583,0.170294559745693,0,0,0,0,6.5021266553836992357014307306,110.25019359489209023718628029,114.20382327701832055650702685,1239815000
9.87,0,0.1708156123149120648717634992,0.170815612314912,0.170215321269726,0.170815612314912,0.170215321269726,0,0,0,0,6.4996497808493222507014307308,110.23127174719159463000174583,114.19248172760454410208866249,1241073000
9.88,0,0.1707354980866351343979576277,0.170735498086635,0.170136339919384,0.170735498086635,0.170136339919384,0,0,0,0,6.4971778875495643237014307309,110.21233583889571316777655544,114.18113336936415226031066058,1242330000
9.89,0,0.1706555524328614726384865026,0.170655552432862,0.170057523938895,0.170655552432862,0.170057523938895,0,0,0,0,6.4947110904683984937014307302,110.19345751053150185573991054,114.1698267501235561952200372,1243587000
9.90,0,0.1705757741115937186920724404,0.170575774111594,0.169978872098326,0.170575774111594,0.169978872098326,0,0,0,0,6.4922489741831988217014307313,110.1745869972166085748482108,114.15852831609561450582792067,1244845000
9.91,0,0.1704962662352835720356760476,0.170496266235284,0.169900487522137,0.170496266235284,0.169900487522137,0,0,0,0,6.4897918412002590127014307315,110.15571071422699657699483067,114.14722864767410200353901934,1246102000
9.92,0,0.1704168151233075216837117430,0.170416815123308,0.169822156541655,0.170416815123308,0.169822156541655,0,0,0,0,6.4873397699146192007014307302,110.13688286320397008112071926,114.13596445486224586058534688,1247360000
9.93,0,0.1703376324122451527333853007,0.170337632412245,0.169744090805354,0.170337632412245,0.169744090805354,0,0,0,0,6.4848922771079099767014307311,110.11807487858143430518628794,114.12471662826290564015420304,1248617000
9.94,0,0.1702586073837896483112505105,0.17025860738379,0.169666179606767,0.17025860738379,0.169666179606767,0,0,0,0,6.4824498099040511227014307313,110.09925229846415115635900009,114.11346150027111964758713476,1249874000
9.95,0,0.1701797492358749123003697675,0.170179749235875,0.169588432155612,0.170179749235875,0.169588432155612,0,0,0,0,6.4800120968903983747014307305,110.08047818858902397474019596,114.10224199112251395119897919,1251132000
9.96,0,0.1701011476901568307496707153,0.170101147690157,0.169510938185274,0.170101147690157,0.169510938185274,0,0,0,0,6.4775796133923341127014307308,110.0617298536497192376170832,114.09104238840302170019219261,1252389000
9.97,0,0.1700226124693329610427969982,0.170022612469333,0.169433507430123,0.170022612469333,0.169433507430123,0,0,0,0,6.4751513282469832977014307314,110.04295992717660767822247233,114.07983120512341294895139222,1253647000
9.98,0,0.1699443447793629680688140963,0.169944344779363,0.169356341107741,0.169944344779363,0.169356341107741,0,0,0,0,6.472728061196215590701430731,110.02424025850172449146917772,114.06865661638011563423771612,1254904000
9.99,0,0.1698662228627062007294759596,0.169866222862706,0.169279317472151,0.169866222862706,0.169279317472151,0,0,0,0,6.4703095673352967677014307315,110.00550983714260872487271199,114.05747740449309478945251539,1256162000
10.00,0,0.1697882754771703987599338836,0.16978827547717,0.169202465292673,0.16978827547717,0.169202465292673,0,0,0,0,6.4678958094158445617014307301,109.98682686931498527245356506,114.04633301408345094715872913,1257419000
10.01,0,0.1697526417241936934094429323,0.169752641724194,0.169167923682203,0.169752641724194,0.169167923682203,0,0,0,0,6.4654867869314388757014307304,109.96816411594075091819544898,114.03520496525158186436355699,1258676000
10.02,0,0.1697146774495074414094429323,0.169714677449507,0.169131048497879,0.169714677449507,0.169131048497879,0,0,0,0,6.4630822790823735717014307304,109.94948045778017647075633958,114.02406553046091781611386603,1259934000
10.03,0,0.1696767950280238794094429323,0.169676795028024,0.169094252125964,0.169676795028024,0.169094252125964,0,0,0,0,6.4606828828921778317014307302,109.93085800555809036341001217,114.01296992262910270804966207,1261191000
10.04,0,0.1696389754502966714094429323,0.169638975450297,0.169057515568311,0.169638975450297,0.169057515568311,0,0,0,0,6.4582878922832549487014307308,109.91224608739683133009653756,114.00188424890388027888448523,1262449000
10.05,0,0.1696012396536600764094429323,0.16960123965366,0.169020859773501,0.16960123965366,0.169020859773501,0,0,0,0,6.4558975849603167347014307307,109.89361895826572596632829686,113.99079089174675751635469704,1263706000
10.06,0,0.1695635861232860834094429323,0.169563586123286,0.168984283237902,0.169563586123286,0.168984283237902,0,0,0,0,6.4535121415147256237014307306,109.87504616142314412296689349,113.97973678948417016540262478,1264963000
10.07,0,0.1695260933444601714094429323,0.16952609334446,0.168947864457943,0.16952609334446,0.168947864457943,0,0,0,0,6.4511314026374784557014307307,109.85646166861516433766475384,113.96867733525301165816808566,1266221000
10.08,0,0.1694886857316320764094429323,0.169488685731632,0.168911527859165,0.169488685731632,0.168911527859165,0,0,0,0,6.4487549707839693637014307303,109.83791962076148767196111947,113.95764939884370165385951077,1267478000
